Site,Charoen Pokphand Madiun
Periode,2026-04-14 s/d 2026-04-27

tanggal,inverter_name,string_number,daily_energy_kwh,daily_ghi_kwh_m2,pr_ghi_pct,pr_poa_pct,string_dc_kw_stc
2026-04-14,CPMAD-INV-04.,5,64.7121,6.344592,83.603,89.837,8.5400
2026-04-14,CPMAD-INV-04.,6,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,7,64.3590,6.344592,83.147,89.347,9.1500
2026-04-14,CPMAD-INV-04.,8,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,9,63.6509,6.344592,82.232,88.364,9.1500
2026-04-14,CPMAD-INV-04.,10,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,11,61.9332,6.344592,80.013,85.979,8.5400
2026-04-14,CPMAD-INV-04.,12,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,13,62.9349,6.344592,81.307,87.370,8.5400
2026-04-14,CPMAD-INV-04.,14,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,15,62.4509,6.344592,80.682,86.698,8.5400
2026-04-14,CPMAD-INV-04.,16,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,17,62.5697,6.344592,80.835,86.863,9.7600
2026-04-14,CPMAD-INV-04.,18,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,19,62.2686,6.344592,80.446,86.445,8.5400
2026-04-14,CPMAD-INV-04.,20,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,21,62.9458,6.344592,81.321,87.385,9.1500
2026-04-14,CPMAD-INV-04.,22,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-04.,23,0.0000,6.344592,0.000,0.000,9.1500
2026-04-14,CPMAD-INV-04.,24,0.0000,6.344592,,0.000,
2026-04-14,CPMAD-INV-05.,1,60.3438,6.344592,77.960,83.773,12.2000
2026-04-14,CPMAD-INV-05.,2,0.0000,6.344592,0.000,0.000,
