Site_Name,Site_Code,Month,GHI (kWh/m2),POA (kWh/m2),Energy Simulation (MWh),Energy Target (MWh),"Energy KPI (MWh)",Daily PR POA Target,Daily PR GHI Target
Garuda Metalindo (MPF),1449886,December,134,49,131,98,39,84753,39,84753,39,4490547,0,807363323,0,822717785
Shoetown Ligung Indonesia,1479456,January,159,8079571,156,8466083,326,3723416,326,3723416,325,2300384,0,786677767,0,801530669
Shoetown Ligung Indonesia,1479456,February,129,8607359,127,3177591,264,9316043,264,9316043,264,0043437,0,785846708,0,80154279
Shoetown Ligung Indonesia,1479456,March,169,3838006,166,3274973,345,8777681,345,8777681,344,6671959,0,786561533,0,801014769
Shoetown Ligung Indonesia,1479456,April,152,5010067,149,950342,313,6807598,313,6807598,312,5828771,0,792313579,0,805790883
Shoetown Ligung Indonesia,1479456,May,147,9250321,145,3397765,304,4523889,304,4523889,303,3868055,0,7927927,0,806894633
Shoetown Ligung Indonesia,1479456,June,140,1161324,138,164366,281,4665412,292,0386469,280,4814083,0,773785458,0,814190832
Shoetown Ligung Indonesia,1479456,July,157,622941,155,2037002,325,860868,325,860868,324,7203549,0,796332998,0,808745854
Shoetown Ligung Indonesia,1479456,August,177,9479016,175,1823594,364,6246095,364,6246095,363,3484234,0,789287154,0,801747352
Shoetown Ligung Indonesia,1479456,September,181,5929552,178,5638247,345,0732889,368,318323,343,8655324,0,731971675,0,794532696
Shoetown Ligung Indonesia,1479456,October,174,9529102,171,9932795,348,3171242,356,6153666,347,0980143,0,76689443,0,798675761
Shoetown Ligung Indonesia,1479456,November,147,3229048,144,6605565,301,5047685,301,5047685,300,4495018,0,788325982,0,802834417
Shoetown Ligung Indonesia,1479456,December,145,3389962,142,6920952,298,5163113,298,5163113,297,4715042,0,791166407,0,805842337
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,January,129,896,130,0924,180,1938265,180,1938265,180,1938265,0,792400612,0,791204328
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,February,122,318,122,3512,169,8612266,169,8612266,169,8612266,0,79323991,0,793024664
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,March,150,86,150,8013,207,2244715,207,2244715,207,2244715,0,784634878,0,7849403
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,April,147,416,147,1267,189,3972489,201,139403,189,3972489,0,73388788,0,780919621
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,May,148,13,147,4514,199,1050387,199,1050387,199,1050387,0,767785489,0,771318987
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,June,138,002,137,317,179,4455756,186,1828017,179,4455756,0,742759211,0,7744902
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,July,153,119,152,4453,206,2927317,206,2927317,206,2927317,0,769583087,0,772984098
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,August,171,602,171,0638,222,5443501,230,6306173,222,5443501,0,740789639,0,770121979
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,September,174,014,173,8243,234,7823201,234,7823201,234,7823201,0,770693812,0,771534894
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,October,170,54,170,705,232,7615569,232,7615569,232,7615569,0,779624838,0,778871268
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,November,148,26,148,5274,202,528404,202,528404,202,528404,0,780301814,0,778897004
PT. MMKI 1.75 MWp - Painting Building,NE=50488260,December,151,21,151,464,207,7730364,207,7730364,207,7730364,0,784890993,0,783574757
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,January,122,8998,122,3089,549,19547,,,0,783002144,0,786784992
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,February,110,1,109,825,491,99693,,,0,783000889,0,78496151
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,March,149,2003,149,322,666,72064,,,0,78299932,0,782361162
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,April,146,5003,147,119,654,6553,,,0,782999267,0,779706411
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,May,148,4997,149,7121,663,59255,,,0,783002424,0,776661506
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,June,139,0005,140,3017,621,14051,,,0,782998036,0,775736278
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,July,152,3001,153,6687,680,57341,,,0,783000375,0,776026838
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,August,168,1008,169,156,751,17787,,,0,782997158,0,778112799
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,September,169,7999,170,208,758,77455,,,0,783001343,0,781123976
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,October,162,1998,161,9237,724,81287,,,0,783001804,0,78433692
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,November,140,0006,139,3662,625,60915,,,0,782997501,0,786561734
PT. MMKI 5.7 MWp - Phase 2,NE=51758766,December,132,5993,131,8926,592,54124,,,0,783004993,0,78720045
PLTS Mall Panakkukang,NE=53771627,January,127,6899219,127,3144892,113,3173135,118,074448,113,3173135,0,743492658,0,745685114
PLTS Mall Panakkukang,NE=53771627,February,125,9259617,125,629106,118,903002,118,903002,118,903002,0,759197772,0,760991721
PLTS Mall Panakkukang,NE=53771627,March,150,0378779,149,7967555,145,2159805,145,2159805,145,2159805,0,77819938,0,779452019
PLTS Mall Panakkukang,NE=53771627,April,152,4149498,152,3075411,148,0095489,148,0095489,148,0095489,0,780799541,0,781350168
PLTS Mall Panakkukang,NE=53771627,May,149,2978071,149,2037986,145,9437678,145,9437678,145,9437678,0,785976402,0,786471621
PLTS Mall Panakkukang,NE=53771627,June,138,4349431,138,3615831,135,1152647,135,1152647,135,1152647,0,784758578,0,785174661
PLTS Mall Panakkukang,NE=53771627,July,160,7350659,160,6170805,157,1702749,157,1702749,157,1702749,0,786207463,0,786784992
PLTS Mall Panakkukang,NE=53771627,August,189,3548958,189,2279738,178,9605529,185,0451504,178,9605529,0,785739437,0,78626646
PLTS Mall Panakkukang,NE=53771627,September,195,1647645,194,9699628,187,7307563,187,7307563,187,7307563,0,773412879,0,774185625
