source;site_id;site_name;inverter_id;inverter_name;inverter_no;mppt_no;string_no;module_qty;orient_code;is_active;commission_date;decommission_date;notes
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;9;18;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;10;19;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;10;20;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;11;21;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;11;22;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;12;23;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;2;12;24;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;1;1;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;2;3;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;3;5;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;4;7;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;4;8;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;5;9;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;5;10;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;6;11;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;6;12;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;7;13;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;7;14;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;8;15;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;8;16;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;9;17;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;9;18;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;10;19;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;10;20;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;11;21;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;11;22;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;12;23;18.0;2.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;3;12;24;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;1;1;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;1;2;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;2;3;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;2;4;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;3;5;20.0;1.0;True;;;from JOIN String (Google Sheet Data Static MMSR)
iSolarCloud;1637095;Charoen Pokphand Bandung;;;4;3;6;;;True;;;from JOIN String (Google Sheet Data Static MMSR)
