source;site_id;site_name;inverter_no;inverter_sn;inverter_id;inverter_name;inverter_ac_capacity_kw;inverter_model;inverter_manufacturer;inverter_dc_capacity_kw;mppt_count;is_active;valid_from;valid_to;notes
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;12;1680199_1_7_2;1680199_1_7_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;13;1680199_1_6_2;1680199_1_6_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;14;1680199_1_8_2;1680199_1_8_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;15;1680199_1_3_2;1680199_1_3_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;16;1680199_1_2_2;1680199_1_2_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;17;1680199_1_4_2;1680199_1_4_2;;;;;;;True;;;
dim_assets_auto;1680199;PLTS Rooftop Sumatera Prima Fibreboard;18;1680199_1_1_2;1680199_1_1_2;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;1;1763661_1_1_1;1763661_1_1_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;2;1763661_1_2_1;1763661_1_2_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;3;1763661_1_3_1;1763661_1_3_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;4;1763661_1_4_1;1763661_1_4_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;5;1763661_1_7_1;1763661_1_7_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;6;1763661_1_10_1;1763661_1_10_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;7;1763661_1_8_1;1763661_1_8_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;8;1763661_1_9_1;1763661_1_9_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;9;1763661_1_6_1;1763661_1_6_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;10;1763661_1_5_1;1763661_1_5_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;11;1763661_1_25_1;1763661_1_25_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;12;1763661_1_26_1;1763661_1_26_1;;;;;;;True;;;
dim_assets_auto;1763661;PLTS On Grid Sorini Towa Berlian Corporindo;13;1763661_1_27_1;1763661_1_27_1;;;;;;;True;;;
