site_id,site_name,inverter_no,layout_string_rows,dim_inverter_id,dim_id_status,cfg_inverter_id,cfg_inverter_sn,cfg_status,mart_inv_keys_missing_dim_45d
1445767,Garuda Metalindo (IKP),1,18,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1445767,Garuda Metalindo (IKP),2,18,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1445767,Garuda Metalindo (IKP),3,18,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1449886,Garuda Metalindo (MPF),1,18,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1449886,Garuda Metalindo (MPF),2,18,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1449886,Garuda Metalindo (MPF),3,18,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,3
1453245,Garuda Metalindo 2,1,18,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1453245,Garuda Metalindo 2,2,18,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1453245,Garuda Metalindo 2,3,18,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1453245,Garuda Metalindo 2,4,18,4,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1453245,Garuda Metalindo 2,5,18,5,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1453245,Garuda Metalindo 2,6,18,6,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,1,18,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,2,18,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,3,18,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,4,18,4,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,5,18,5,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1458125,Garuda Metalindo 1,6,18,6,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,6
1479456,Shoetown Ligung Indonesia,1,24,1,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,18
1479456,Shoetown Ligung Indonesia,2,25,2,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,18
1479456,Shoetown Ligung Indonesia,3,23,3,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,18
1479456,Shoetown Ligung Indonesia,4,24,4,dim_inverter_id_numeric_only,,,no_seed_inverter_config_row,18
