date_key,site_name,inverter_name,string_number,daily_ghi_kwh_m2,daily_poa_kwh_m2,pr_ghi_string,pr_poa_string,pr_string,pr_pct
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-02,21,4.972309,4.6697163,0.004069427086034111,0.004333121676948808,0.004333121676948808,0.43331216769488085
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,1,4.972309,4.6697163,0.6494955132017516,0.6915821386735396,0.6915821386735396,69.15821386735395
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,2,4.972309,4.6697163,0.6504022580543739,0.6925476396379981,0.6925476396379981,69.25476396379982
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,3,4.972309,4.6697163,0.0,0.0,0.0,0.0
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,4,4.972309,4.6697163,0.64490779501703,0.6866971411803611,0.6866971411803611,68.66971411803611
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,5,4.972309,4.6697163,0.6310104929572572,0.6718993085780836,0.6718993085780836,67.18993085780835
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,7,4.972309,4.6697163,0.5954761063636611,0.6340623311435406,0.6340623311435406,63.40623311435406
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,8,4.972309,4.6697163,0.6467612358181435,0.6886706829940991,0.6886706829940991,68.86706829940991
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,10,4.972309,4.6697163,0.6327462713678312,0.6737475636022492,0.6737475636022492,67.37475636022492
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,11,4.972309,4.6697163,0.6323036601521601,0.6732762716457801,0.6732762716457801,67.327627164578
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,12,4.972309,4.6697163,0.010937957752121953,0.011646725899064951,0.011646725899064951,1.1646725899064951
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,13,4.972309,4.6697163,0.5667734463673383,0.6034997689973871,0.6034997689973871,60.349976899738714
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,14,4.972309,4.6697163,0.6558167013132777,0.6983129331197963,0.6983129331197963,69.83129331197962
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,16,4.972309,4.6697163,0.5797828228531814,0.6173521393833453,0.6173521393833453,61.73521393833453
2026-03-29,PLTS Rooftop Sumatera Prima Fibreboard,INV-03,17,4.972309,4.6697163,0.563927491350879,0.60046939909206,0.60046939909206,60.046939909205996
