Site_Name;Site_Code;Week;Month;Date;GHI;POA;Energy Simulation (MW);Energy Target (MW);Daily PR POA Simulation;Daily PR POA Target;GHI vs POA;Daily PR GHI Simulation;Daily PR GHI Target
Garuda Metalindo 1;1458125;W2;February;05/02/2025;0.61;0.58;0.319754545;0.319754545;0.788530273;0.788530273;0.03;0.749750096;0.749750096
Garuda Metalindo 1;1458125;W2;February;06/02/2025;5.85;5.76;3.245706061;3.245706061;0.805965294;0.805965294;0.09;0.793565828;0.793565828
Garuda Metalindo 1;1458125;W2;February;07/02/2025;1.17;1.13;0.643222222;0.643222222;0.814164636;0.814164636;0.04;0.786329948;0.786329948
Garuda Metalindo 1;1458125;W2;February;08/02/2025;3.76;3.7;2.029328283;2.029328283;0.784477013;0.784477013;0.06;0.771958763;0.771958763
Garuda Metalindo 1;1458125;W2;February;09/02/2025;3.57;3.5;1.898147475;1.898147475;0.775695988;0.775695988;0.07;0.760486263;0.760486263
Garuda Metalindo 1;1458125;W3;February;10/02/2025;3.13;3.06;1.752278788;1.752278788;0.819051887;0.819051887;0.07;0.800734433;0.800734433
Garuda Metalindo 1;1458125;W3;February;11/02/2025;7;6.9;3.714912121;3.714912121;0.770068027;0.770068027;0.1;0.759067055;0.759067055
Garuda Metalindo 1;1458125;W3;February;12/02/2025;3.42;3.37;1.891256566;1.891256566;0.802694313;0.802694313;0.05;0.790959016;0.790959016
Garuda Metalindo 1;1458125;W3;February;13/02/2025;3.79;3.72;2.119826263;2.119826263;0.815055095;0.815055095;0.07;0.800001307;0.800001307
Garuda Metalindo 1;1458125;W3;February;14/02/2025;3.6;3.51;1.907359596;1.907359596;0.777239923;0.777239923;0.09;0.757808925;0.757808925
Garuda Metalindo 1;1458125;W3;February;15/02/2025;5.22;5.13;2.884030303;2.884030303;0.804103759;0.804103759;0.09;0.790239901;0.790239901
Garuda Metalindo 1;1458125;W3;February;16/02/2025;2.44;2.37;1.373148485;1.373148485;0.828702777;0.828702777;0.07;0.804928517;0.804928517
Garuda Metalindo 1;1458125;W4;February;17/02/2025;3.24;3.16;1.825540404;1.825540404;0.826292869;0.826292869;0.08;0.805890576;0.805890576
Garuda Metalindo 1;1458125;W4;February;18/02/2025;2.22;2.15;1.249506061;1.249506061;0.831245955;0.831245955;0.07;0.805035497;0.805035497
Garuda Metalindo 1;1458125;W4;February;19/02/2025;2.84;2.76;1.602163636;1.602163636;0.830285448;0.830285448;0.08;0.806897126;0.806897126
Garuda Metalindo 1;1458125;W4;February;20/02/2025;2.11;2.05;1.183030303;1.183030303;0.825413649;0.825413649;0.06;0.801942171;0.801942171
Garuda Metalindo 1;1458125;W4;February;21/02/2025;2.07;2.01;1.152149495;1.152149495;0.819865128;0.819865128;0.06;0.796100921;0.796100921
Garuda Metalindo 1;1458125;W4;February;22/02/2025;3.33;3.26;1.872605051;1.872605051;0.821595834;0.821595834;0.07;0.80432505;0.80432505
Garuda Metalindo 1;1458125;W4;February;23/02/2025;5.75;5.66;3.120477778;3.120477778;0.788559196;0.788559196;0.09;0.776216531;0.776216531
Garuda Metalindo 1;1458125;W5;February;24/02/2025;6.37;6.27;3.43309899;3.43309899;0.783156259;0.783156259;0.1;0.770861812;0.770861812
Garuda Metalindo 1;1458125;W5;February;25/02/2025;6.48;6.38;3.498216162;3.498216162;0.784251939;0.784251939;0.1;0.772149286;0.772149286
Garuda Metalindo 1;1458125;W5;February;26/02/2025;4.06;3.99;2.226653535;2.226653535;0.798195709;0.798195709;0.07;0.784433714;0.784433714
Garuda Metalindo 1;1458125;W5;February;27/02/2025;5.41;5.3;2.891487879;2.891487879;0.780324323;0.780324323;0.11;0.76445821;0.76445821
Garuda Metalindo 1;1458125;W5;February;28/02/2025;4.25;4.16;2.353976768;2.353976768;0.80935393;0.80935393;0.09;0.79221467;0.79221467
Garuda Metalindo 1;1458125;W1;March;01/03/2025;2.63;2.55;1.48099596;1.48099596;0.830698318;0.830698318;0.08;0.805429928;0.805429928
Garuda Metalindo 1;1458125;W1;March;02/03/2025;1.61;1.56;0.897617172;0.897617172;0.822993096;0.822993096;0.05;0.797434304;0.797434304
Garuda Metalindo 1;1458125;W2;March;03/03/2025;1.58;1.54;0.883576768;0.883576768;0.82064099;0.82064099;0.04;0.799865268;0.799865268
Garuda Metalindo 1;1458125;W2;March;04/03/2025;6.74;6.64;3.62210101;3.62210101;0.78022905;0.78022905;0.1;0.768652951;0.768652951
Garuda Metalindo 1;1458125;W2;March;05/03/2025;4.96;4.86;2.685483838;2.685483838;0.790343547;0.790343547;0.1;0.774409201;0.774409201
Garuda Metalindo 1;1458125;W2;March;06/03/2025;6.96;6.85;3.672935354;3.672935354;0.766924039;0.766924039;0.11;0.754803113;0.754803113
Garuda Metalindo 1;1458125;W2;March;07/03/2025;4.64;4.55;2.565358586;2.565358586;0.806429341;0.806429341;0.09;0.790787393;0.790787393
Garuda Metalindo 1;1458125;W2;March;08/03/2025;2.08;2.02;1.170776768;1.170776768;0.828995865;0.828995865;0.06;0.805082523;0.805082523
Garuda Metalindo 1;1458125;W2;March;09/03/2025;1.91;1.85;1.069958586;1.069958586;0.827227337;0.827227337;0.06;0.801241138;0.801241138
Garuda Metalindo 1;1458125;W3;March;10/03/2025;5.55;5.44;3.060205051;3.060205051;0.804602293;0.804602293;0.11;0.78865522;0.78865522
Garuda Metalindo 1;1458125;W3;March;11/03/2025;7.35;7.22;3.837617172;3.837617172;0.760245904;0.760245904;0.13;0.746799378;0.746799378
Garuda Metalindo 1;1458125;W3;March;12/03/2025;7.72;7.56;3.967560606;3.967560606;0.750639496;0.750639496;0.16;0.735082201;0.735082201
Garuda Metalindo 1;1458125;W3;March;13/03/2025;7.15;7.04;3.766166667;3.766166667;0.765167498;0.765167498;0.11;0.75339569;0.75339569
Garuda Metalindo 1;1458125;W3;March;14/03/2025;4.32;4.24;2.437890909;2.437890909;0.822390433;0.822390433;0.08;0.80716098;0.80716098
Garuda Metalindo 1;1458125;W3;March;15/03/2025;6.23;6.12;3.366630303;3.366630303;0.786816836;0.786816836;0.11;0.772924404;0.772924404
Garuda Metalindo 1;1458125;W3;March;16/03/2025;6.44;6.34;3.477130303;3.477130303;0.784442917;0.784442917;0.1;0.772262126;0.772262126
Garuda Metalindo 1;1458125;W4;March;17/03/2025;6.38;6.27;3.423368687;3.423368687;0.780936589;0.780936589;0.11;0.767472165;0.767472165
Garuda Metalindo 1;1458125;W4;March;18/03/2025;1.32;1.27;0.726869697;0.726869697;0.818620245;0.818620245;0.05;0.787611902;0.787611902
Garuda Metalindo 1;1458125;W4;March;19/03/2025;5.75;5.65;3.148446465;3.148446465;0.797035203;0.797035203;0.1;0.783173721;0.783173721
Garuda Metalindo 1;1458125;W4;March;20/03/2025;2.86;2.8;1.61209596;1.61209596;0.8234979;0.8234979;0.06;0.806221721;0.806221721
Garuda Metalindo 1;1458125;W4;March;21/03/2025;7.1;6.98;3.724238384;3.724238384;0.763153126;0.763153126;0.12;0.750254763;0.750254763
Garuda Metalindo 1;1458125;W4;March;22/03/2025;6.98;6.86;3.669182828;3.669182828;0.765023674;0.765023674;0.12;0.751871404;0.751871404
Garuda Metalindo 1;1458125;W4;March;23/03/2025;7.3;7.17;3.799320202;3.799320202;0.757907805;0.757907805;0.13;0.744410816;0.744410816
Garuda Metalindo 1;1458125;W5;March;24/03/2025;2.32;2.25;1.29660303;1.29660303;0.824240883;0.824240883;0.07;0.799371546;0.799371546
Garuda Metalindo 1;1458125;W5;March;25/03/2025;3.19;3.12;1.800257576;1.800257576;0.825295907;0.825295907;0.07;0.807185965;0.807185965
Garuda Metalindo 1;1458125;W5;March;26/03/2025;5.18;5.06;2.810129293;2.810129293;0.794338154;0.794338154;0.12;0.775936498;0.775936498
Garuda Metalindo 1;1458125;W5;March;27/03/2025;3.98;3.89;2.153537374;2.153537374;0.791830908;0.791830908;0.09;0.773925184;0.773925184
Garuda Metalindo 1;1458125;W5;March;28/03/2025;1.64;1.59;0.911043434;0.911043434;0.819542719;0.819542719;0.05;0.794556661;0.794556661
Garuda Metalindo 1;1458125;W5;March;29/03/2025;3.96;3.88;2.191842424;2.191842424;0.807992335;0.807992335;0.08;0.791669258;0.791669258
Garuda Metalindo 1;1458125;W5;March;30/03/2025;3.73;3.65;2.023715152;2.023715152;0.793023682;0.793023682;0.08;0.776015131;0.776015131
Garuda Metalindo 1;1458125;W5;March;31/03/2025;2.99;2.92;1.672926263;1.672926263;0.819452125;0.819452125;0.07;0.800267627;0.800267627
Garuda Metalindo 1;1458125;W1;April;01/04/2025;5.24;5.14;2.922690909;2.922690909;0.813297445;0.813297445;0.1;0.797776501;0.797776501
Garuda Metalindo 1;1458125;W1;April;02/04/2025;5.32;5.2;2.842222222;2.842222222;0.781779585;0.781779585;0.12;0.764145459;0.764145459
Garuda Metalindo 1;1458125;W1;April;03/04/2025;5.9;5.8;3.222953535;3.222953535;0.79479603;0.79479603;0.1;0.78132491;0.78132491
Garuda Metalindo 1;1458125;W1;April;04/04/2025;6.79;6.66;3.616779798;3.616779798;0.776743231;0.776743231;0.13;0.761871858;0.761871858
Garuda Metalindo 1;1458125;W1;April;05/04/2025;6.98;6.85;3.653233333;3.653233333;0.762810176;0.762810176;0.13;0.74860311;0.74860311
Garuda Metalindo 1;1458125;W1;April;06/04/2025;5.09;4.98;2.822641414;2.822641414;0.810692219;0.810692219;0.11;0.793172348;0.793172348
Garuda Metalindo 1;1458125;W2;April;07/04/2025;3.37;3.27;1.88329798;1.88329798;0.823760429;0.823760429;0.1;0.799316499;0.799316499
Garuda Metalindo 1;1458125;W2;April;08/04/2025;5.02;4.92;2.765014141;2.765014141;0.803825709;0.803825709;0.1;0.787813244;0.787813244
Garuda Metalindo 1;1458125;W2;April;09/04/2025;4.75;4.66;2.642617172;2.642617172;0.811106672;0.811106672;0.09;0.795738335;0.795738335
Garuda Metalindo 1;1458125;W2;April;10/04/2025;6.35;6.23;3.396677778;3.396677778;0.779822823;0.779822823;0.12;0.765086013;0.765086013
Garuda Metalindo 1;1458125;W2;April;11/04/2025;5.09;4.97;2.730736364;2.730736364;0.785874185;0.785874185;0.12;0.767346699;0.767346699
Garuda Metalindo 1;1458125;W2;April;12/04/2025;6.53;6.41;3.49119596;3.49119596;0.779015026;0.779015026;0.12;0.764699283;0.764699283
Garuda Metalindo 1;1458125;W2;April;13/04/2025;1.87;1.81;1.041043434;1.041043434;0.822659112;0.822659112;0.06;0.796263633;0.796263633
Garuda Metalindo 1;1458125;W3;April;14/04/2025;0.98;0.95;0.537511111;0.537511111;0.80927007;0.80927007;0.03;0.784496497;0.784496497
Garuda Metalindo 1;1458125;W3;April;15/04/2025;3.94;3.86;2.204662626;2.204662626;0.816929301;0.816929301;0.08;0.800341904;0.800341904
Garuda Metalindo 1;1458125;W3;April;16/04/2025;5.95;5.83;3.232215152;3.232215152;0.792978377;0.792978377;0.12;0.776985536;0.776985536
Garuda Metalindo 1;1458125;W3;April;17/04/2025;3.78;3.7;2.095294949;2.095294949;0.809977733;0.809977733;0.08;0.792835347;0.792835347
Garuda Metalindo 1;1458125;W3;April;18/04/2025;6.9;6.74;3.616180808;3.616180808;0.767396614;0.767396614;0.16;0.74960191;0.74960191
Garuda Metalindo 1;1458125;W3;April;19/04/2025;6.45;6.31;3.453149495;3.453149495;0.782736632;0.782736632;0.14;0.765747;0.765747
Garuda Metalindo 1;1458125;W3;April;20/04/2025;5.57;5.45;3.014717172;3.014717172;0.791188034;0.791188034;0.12;0.774142691;0.774142691
Garuda Metalindo 1;1458125;W4;April;21/04/2025;5.68;5.57;3.118140404;3.118140404;0.800700518;0.800700518;0.11;0.785193994;0.785193994
Garuda Metalindo 1;1458125;W4;April;22/04/2025;3.97;3.88;2.220894949;2.220894949;0.818702146;0.818702146;0.09;0.800142148;0.800142148
